Habit,Taxa1,Taxa2,C1,C2,C3,C4,pC1,pC2,pC3,pC4
Terrestrial,Amphiesma_beddomei,Pseudagkistrodon_rudis,0.08969319721241098,0.01168266749556661,0.07035495996811406,0.003454312795759624,0.2079207920792079,0.1485148514851485,0.2079207920792079,0.18811881188118812
Terrestrial,Amphiesma_beddomei,Thamnophis_brachystoma,0.30641770902588583,0.02719048315910036,0.10906959238924967,0.004002653077387344,0.0594059405940594,0.039603960396039604,0.13861386138613863,0.18811881188118812
Terrestrial,Amphiesma_beddomei,Thamnophis_exsul,0.5644894969563099,0.04782824281604517,0.17802560049255847,0.00704069369321227,0.009900990099009901,0.009900990099009901,0.019801980198019802,0.07920792079207921
Terrestrial,Amphiesma_beddomei,Thamnophis_scalaris_2,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_beddomei,Thamnophis_scaliger_1,0.2733569735566088,0.01694347152447733,0.06246186982269115,0.002494212333125673,0.0891089108910891,0.18811881188118812,0.3069306930693069,0.39603960396039606
Terrestrial,Amphiesma_monticola,Hebius_atemporale_1,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_monticola,Hebius_boulengeri_2,0.3410729069547609,0.025610132808553066,0.15599200574425784,0.007811095719664128,0.04950495049504951,0.09900990099009901,0.07920792079207921,0.1782178217821782
Terrestrial,Amphiesma_monticola,Hebius_modestum,0.3626638251154416,0.027173180848674122,0.14706054372002894,0.00828782569006637,0.039603960396039604,0.0297029702970297,0.039603960396039604,0.1188118811881188
Terrestrial,Amphiesma_monticola,Hebius_octolineatum_3,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_monticola,Hebius_sauteri_1,0.07645448023830592,0.005478402025469398,0.029946599489242144,0.001670913732921052,0.36633663366336633,0.4158415841584158,0.4158415841584158,0.45544554455445546
Terrestrial,Amphiesma_monticola,Herpetoreas_platyceps,0.488481311860948,0.06082666447948391,0.3184959823287829,0.018552145047778322,0.019801980198019802,0,0,0.009900990099009901
Terrestrial,Amphiesma_monticola,Herpetoreas_sp1,0.18923673361530535,0.020797446895247804,0.10579724734386368,0.006343225536462588,0.2376237623762376,0.1485148514851485,0.19801980198019803,0.22772277227722773
Terrestrial,Amphiesma_monticola,Herpetoreas_xenura,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_monticola,Lycognathophis_seychellensis,0.212191636805097,0.02185555067730878,0.12081172537162549,0.009318838702587748,0.10891089108910891,0.04950495049504951,0.09900990099009901,0.1188118811881188
Terrestrial,Amphiesma_monticola,Pseudagkistrodon_rudis,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_monticola,Thamnophis_brachystoma,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_monticola,Thamnophis_exsul,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_monticola,Thamnophis_scalaris_2,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_monticola,Thamnophis_scaliger_1,0,0,0,0,0.9900990099009901,0.9900990099009901,0.9900990099009901,0.9900990099009901
Terrestrial,Amphiesma_stolatum_2,Hebius_atemporale_1,0.23770901653406706,0.019513466111206038,0.09463270625912108,0.0059516111359699,0.12871287128712872,0.1188118811881188,0.16831683168316833,0.2079207920792079
