Species,Habit,Diet,Origin,Lineage,JL_log10_res,HLRA_log10_res,HLV_log10_res,HWLSL_log10_res,HWFSL_log10_res,HW_log10_res,HHP_log10_res,HH_log10_res,ES_log10_res,EN_log10_res,ED_log10_res,NL_log10_res,EL_log10_res,NN_log10_res,EE_log10_res,BWH_log10_res,BWM_log10_res,BWV_log10_res,MBVL_log10_res,TL_log10_res,DSR_res
Hydraethiops_laevis,Aquatic,unknown,African,African,-0.0637986298083018,-0.059740491433042026,0.03908413243250231,0.001031632122836925,-0.13662215829622784,0.004828931351408069,-0.04254195433102407,-0.04345830939101679,-0.05252540494678491,-0.05880756828460153,-0.1264765080848652,0.038942688345573975,-0.08462192696499328,-0.18453348395360095,-0.04241518050023162,0.01962149526246329,0.013073096792771684,0.028205361265961456,-0.06870877674907608,-0.0573271857658301,2.577817752845715
Hydraethiops_melanogaster,Aquatic,aquatic generalist,African,African,0.03395215792193889,0.03086202688559018,0.0789217632868357,0.09602350753375316,-0.04912475871278555,0.09582010005090233,0.07370738682246196,0.0735317804543788,0.034543764296626193,0.05495223039129251,-0.10406065750854104,0.08994173739893761,0.0370315466404864,-0.16412343214292024,0.0063764098706724955,0.10457443621335596,0.08842264993075995,0.06458102778785044,0.03744474564915661,-0.08165626235153932,4.211654097550645
Isanophis boonsongi,Aquatic,aquatic generalist,Asian,UK,0.06715982143392021,0.04140668675004898,0.08213658387445132,0.07488484302731661,-0.06094463812870858,0.07854699675771327,0.06593941211838755,0.09512396562730863,0.09370300521019562,0.1084165834761856,0.10810474210376803,0.1284665811999976,0.10782526775913408,0.04908438487802342,0.08942337515620773,0.11806804602280667,0.06831706350495892,0.08424588619858552,0.025081876303981322,-0.1837548609564328,-0.20140045414046817
Limnophis_bangweolicus,Aquatic,aquatic generalist,African,African,0.05091885684993285,0.01202998697553017,0.006273115678396446,-0.05005748828282586,-0.018653848582510305,-0.06548466038072044,0.005003052012125836,0.007866245924329718,-0.05391272678286406,-0.13000202132290997,-0.013764833204690269,0.0714147710958119,-0.014183606446624364,-0.18820505046996472,-0.0776702952710274,0.12629468643718594,0.049260335728099736,0.020986831198073812,0.028561397998922586,-0.052347680067562886,0.4836446343359533
Limnophis_bicolor,Aquatic,aquatic generalist,African,African,0.06541619726689735,0.048937588475465664,0.05016261426832929,0.07754850377380698,-0.014345867899286949,0.06780426304521206,0.06918798812818268,0.083329942129057,-0.011060420985934856,-0.029883547967142796,0.021534864727929287,0.11644849359347607,0.06914767838727857,-0.07804264450719132,-0.020411036665053332,0.11265064774849723,0.09449736045465758,0.057726551769079634,0.016791909641348766,-0.09458198388970418,0.31244704276338225
Liodytes_alleni,Aquatic,crayfish,American,North-Central American,0.047670062553046316,0.07293726923461548,0.07398141894857706,0.003535291358946398,-0.03402487546474165,0.0013462240910548005,0.009197103455397537,0.07411695341294938,-0.07384024187876369,0.0024250593196265026,0.09540311706284113,0.11663621770509526,0.06008415232174211,-0.20690526165240525,-0.025069631246266794,0.017935550859728994,0.10402820334639933,0.10370661814723932,0.023321079989330147,0.047870871796884124,0.9782979109826587
Liodytes_pygaea,Aquatic,aquatic generalist,American,North-Central American,-0.01011925310587209,0.020428682927939146,0.026917991478977502,0.05439442458875386,0.079269722092914,0.05244305390436912,0.01156541150342317,0.03552942051670764,-0.05917324007945483,-0.0636903566839866,0.009510119499232304,0.06625291208767377,0.02957726303848625,-0.022421850100152033,-0.033291546667323736,0.08630855232583988,0.08602895335744903,0.05224657693773841,0.07406024953169241,-0.11515753308130185,-0.27211523258033055
Liodytes_rigida,Aquatic,crayfish,American,North-Central American,0.0350405278698239,0.03191056104181993,0.020808541161788777,0.06166745795977561,0.13998721797757085,0.07651489579330946,0.07827669754339998,0.04515572017707837,-0.02290475114528853,-0.047452461841441716,0.03723970754444172,0.06974477003751917,0.0400149104366969,-0.04786514347148112,5.893616153016945e-4,0.07873896062972743,0.07543041630577516,0.07038266538350678,0.08141163996215753,-0.009971025977302725,0.453707497875286
Lycognathophis_seychellensis,Terrestrial,lizards,African,African,-0.0724300362739367,-0.08075610373295507,-0.08296662271961057,-0.10872204198671218,-0.08306196580028401,-0.1126277395970562,-0.09283213549401062,-0.13558449776495107,-0.029856101614824444,0.03448322821027914,-0.06866845550279346,-0.19308903329932856,-0.13546063488197202,-0.018638632818146986,-0.02196559334185498,-0.13138858815227974,-0.1392730902123575,-0.10331594654488936,-0.12282137109673753,0.1425966599028071,-2.525623376870048
Natriciteres_fuliginoides,Semiaquatic,anurans,African,African,0.05348120917802976,0.029029117836466764,0.03530974545783181,0.026733960371888448,0.02060576940887925,0.041018872105984795,0.01686740035800489,0.01056167237014868,-4.2954328533843805e-4,-0.03413089518944218,0.10164139960196265,-0.009462831041354971,0.019993927370991055,0.06838043791818826,0.0036843485710770472,0.009404971858581423,-0.0060008690653284204,0.04489046999741946,-0.011198770374828998,0.34327222203143454,-0.9904200564765971
Natriciteres_olivacea_1,Semiaquatic,generalist,African,African,0.05135715494068774,0.028193097682554163,0.032939565517594374,0.0354445438513471,0.03999082554724027,0.03537652170309884,0.010549110651982637,0.04204544769990285,0.025898661215140575,-0.009333755072603412,0.056110823047673064,0.05268688717050316,0.05777652573357652,0.04215632140413729,0.012884399037472913,0.028443717557687223,0.030272662571283058,0.018199233475327006,0.019071939056760415,0.08815908009480049,1.0368468182965958
Natriciteres_sylvatica_1,Semiaquatic,generalist,African,African,0.011400630897314195,0.004805659246759128,-0.0033351446519292527,-0.03956806242966128,-0.018485097132300135,-0.02347240906345025,-0.031512177313758286,-0.011246595249163964,-0.018301550619232693,-0.049706784090939614,0.07169272553425456,-0.0014495907933148562,0.0054700090050535735,-0.005488594877787008,-0.03353749233460615,-0.0472041251143073,-0.03327817161711334,-0.0040338137432651315,-0.04762238948934849,0.23723288539025708,-0.3243379313190041
Natrix_astreptophora,Semiaquatic,generalist,Asian-European,Europe-Central Asian,0.04288376451530238,0.018302611601026433,-2.4557685106171774e-4,0.009175192092997194,0.058192946025977625,0.008613605396780825,0.006122574955709821,-0.011685066698867047,0.033656702479643315,-0.013756038712780054,0.06691244087261156,-0.012998371660811633,-0.0037841253089314583,0.10503214446728537,0.015239178389874099,0.002981736809868213,-0.04580687566559404,-0.03592466342763088,-0.004114813133766648,0.03804087591394068,-0.5945829997661347
Natrix_cetti,Semiaquatic,generalist,Asian-European,Europe-Central Asian,0.021466021522585376,-0.04763368145527285,-0.05558353455936127,-0.007188899009376882,0.014650902643966048,0.016145711475868536,-0.002451729213789835,-0.07249329402163099,0.008630354362446966,-0.0513889554828333,-0.046747814085931406,-0.08097051099735146,-0.07593261680265073,0.06989426044699773,0.01727747425166071,-0.025331195422319965,-0.09870755602333522,-0.02563182942351785,-0.09699886589868777,-0.0739198396740163,-0.6624510582450989
Natrix_maura_1,Semiaquatic,aquatic generalist,Asian-European,Europe-Central Asian,0.046310253919478336,0.04991919199186271,0.03041805042158468,0.06597593476321982,0.05144035064727938,0.07143953180701036,0.05214768938534928,0.02862104395607674,0.008427903576950826,-0.021835787128149313,-5.4926453421910867e-5,0.09172571213271746,0.049956205014119896,0.030344664417659397,-0.008493103179115152,0.050793498521938686,0.06854202856553308,0.05501514521184061,0.03230761401290222,-0.07993632179060785,1.8334851924323776
