Taxa1,Taxa2,Habit
Fowlea_flavipunctatus_2,Nerodia_harteri,Aquatic
Fowlea_flavipunctatus_2,Nerodia_paucimaculata,Aquatic
Fowlea_flavipunctatus_2,Nerodia_rhombifer,Aquatic
Fowlea_flavipunctatus_2,Nerodia_sipedon,Aquatic
Fowlea_flavipunctatus_2,Nerodia_taxispilota,Aquatic
Fowlea_flavipunctatus_2,Paratapinophis_praemaxillaris,Aquatic
Fowlea_flavipunctatus_2,Regina_grahami,Aquatic
Fowlea_flavipunctatus_2,Regina_septemvittata,Aquatic
Fowlea_flavipunctatus_2,Thamnophis_couchii,Aquatic
Fowlea_flavipunctatus_2,Thamnophis_rufipunctatus,Aquatic
Fowlea_flavipunctatus_2,Thamnophis_sumichrasti,Aquatic
Fowlea_flavipunctatus_2,Thamnophis_validus,Aquatic
Fowlea_flavipunctatus_2,Trimerodytes_aequifasciata,Aquatic
Fowlea_flavipunctatus_2,Trimerodytes_annularis,Aquatic
Fowlea_flavipunctatus_2,Trimerodytes_percarinata,Aquatic
Fowlea_flavipunctatus_2,Xenochrophis_trianguligerus_1,Aquatic
Fowlea_flavipunctatus_2,Xenochrophis_trianguligerus_2,Aquatic
Fowlea_flavipunctatus_2,Xenochrophis_vittatus,Aquatic
Fowlea_melanzostus,Helophis_schoutedeni,Aquatic
Fowlea_melanzostus,Hydraethiops_laevis,Aquatic
Fowlea_melanzostus,Hydraethiops_melanogaster,Aquatic
Fowlea_melanzostus,Limnophis_bangweolicus,Aquatic
Fowlea_melanzostus,Limnophis_bicolor,Aquatic
Fowlea_melanzostus,Liodytes_alleni,Aquatic
Fowlea_melanzostus,Liodytes_pygaea,Aquatic
Fowlea_melanzostus,Liodytes_rigida,Aquatic
Fowlea_melanzostus,Natrix_tessellata_3,Aquatic
Fowlea_melanzostus,Nerodia_clarkii,Aquatic
Fowlea_melanzostus,Nerodia_cyclopion,Aquatic
Fowlea_melanzostus,Nerodia_erythrogaster,Aquatic
Fowlea_melanzostus,Nerodia_fasciata,Aquatic
Fowlea_melanzostus,Nerodia_floridana,Aquatic
Fowlea_melanzostus,Nerodia_harteri,Aquatic
Fowlea_melanzostus,Nerodia_paucimaculata,Aquatic
Fowlea_melanzostus,Nerodia_rhombifer,Aquatic
Fowlea_melanzostus,Nerodia_sipedon,Aquatic
Fowlea_melanzostus,Nerodia_taxispilota,Aquatic
Fowlea_melanzostus,Paratapinophis_praemaxillaris,Aquatic
Fowlea_melanzostus,Regina_grahami,Aquatic
Fowlea_melanzostus,Regina_septemvittata,Aquatic
Fowlea_melanzostus,Thamnophis_couchii,Aquatic
Fowlea_melanzostus,Thamnophis_rufipunctatus,Aquatic
Fowlea_melanzostus,Thamnophis_sumichrasti,Aquatic
Fowlea_melanzostus,Thamnophis_validus,Aquatic
Fowlea_melanzostus,Trimerodytes_aequifasciata,Aquatic
Fowlea_melanzostus,Trimerodytes_annularis,Aquatic
Fowlea_melanzostus,Trimerodytes_percarinata,Aquatic
Fowlea_melanzostus,Xenochrophis_trianguligerus_1,Aquatic
Fowlea_melanzostus,Xenochrophis_trianguligerus_2,Aquatic
Fowlea_melanzostus,Xenochrophis_vittatus,Aquatic
Fowlea_piscator_2,Helophis_schoutedeni,Aquatic
Fowlea_piscator_2,Hydraethiops_laevis,Aquatic
Fowlea_piscator_2,Hydraethiops_melanogaster,Aquatic
Fowlea_piscator_2,Limnophis_bangweolicus,Aquatic
Fowlea_piscator_2,Limnophis_bicolor,Aquatic
Fowlea_piscator_2,Liodytes_alleni,Aquatic
Fowlea_piscator_2,Liodytes_pygaea,Aquatic
Fowlea_piscator_2,Liodytes_rigida,Aquatic
Fowlea_piscator_2,Natrix_tessellata_3,Aquatic
Fowlea_piscator_2,Nerodia_clarkii,Aquatic
Fowlea_piscator_2,Nerodia_cyclopion,Aquatic
Fowlea_piscator_2,Nerodia_erythrogaster,Aquatic
Fowlea_piscator_2,Nerodia_fasciata,Aquatic
Fowlea_piscator_2,Nerodia_floridana,Aquatic
Fowlea_piscator_2,Nerodia_harteri,Aquatic
Fowlea_piscator_2,Nerodia_paucimaculata,Aquatic
Fowlea_piscator_2,Nerodia_rhombifer,Aquatic
Fowlea_piscator_2,Nerodia_sipedon,Aquatic
Fowlea_piscator_2,Nerodia_taxispilota,Aquatic
Fowlea_piscator_2,Paratapinophis_praemaxillaris,Aquatic
Fowlea_piscator_2,Regina_grahami,Aquatic
Fowlea_piscator_2,Regina_septemvittata,Aquatic
Fowlea_piscator_2,Thamnophis_couchii,Aquatic
Fowlea_piscator_2,Thamnophis_rufipunctatus,Aquatic
Fowlea_piscator_2,Thamnophis_sumichrasti,Aquatic
Fowlea_piscator_2,Thamnophis_validus,Aquatic
Fowlea_piscator_2,Trimerodytes_aequifasciata,Aquatic
Fowlea_piscator_2,Trimerodytes_annularis,Aquatic
Fowlea_piscator_2,Trimerodytes_percarinata,Aquatic
Fowlea_piscator_2,Xenochrophis_trianguligerus_1,Aquatic
Fowlea_piscator_2,Xenochrophis_trianguligerus_2,Aquatic
Fowlea_piscator_2,Xenochrophis_vittatus,Aquatic
Fowlea_punctulatus,Helophis_schoutedeni,Aquatic
Fowlea_punctulatus,Hydraethiops_laevis,Aquatic
Fowlea_punctulatus,Hydraethiops_melanogaster,Aquatic
Fowlea_punctulatus,Limnophis_bangweolicus,Aquatic
Fowlea_punctulatus,Limnophis_bicolor,Aquatic
Fowlea_punctulatus,Liodytes_alleni,Aquatic
Fowlea_punctulatus,Liodytes_pygaea,Aquatic
Fowlea_punctulatus,Liodytes_rigida,Aquatic
Fowlea_punctulatus,Natrix_tessellata_3,Aquatic
Fowlea_punctulatus,Nerodia_clarkii,Aquatic
Fowlea_punctulatus,Nerodia_cyclopion,Aquatic
Fowlea_punctulatus,Nerodia_erythrogaster,Aquatic
Fowlea_punctulatus,Nerodia_fasciata,Aquatic
Fowlea_punctulatus,Nerodia_floridana,Aquatic
Fowlea_punctulatus,Nerodia_harteri,Aquatic
Fowlea_punctulatus,Nerodia_paucimaculata,Aquatic
Fowlea_punctulatus,Nerodia_rhombifer,Aquatic
Fowlea_punctulatus,Nerodia_sipedon,Aquatic
Fowlea_punctulatus,Nerodia_taxispilota,Aquatic
Fowlea_punctulatus,Paratapinophis_praemaxillaris,Aquatic
Fowlea_punctulatus,Regina_grahami,Aquatic
Fowlea_punctulatus,Regina_septemvittata,Aquatic
Fowlea_punctulatus,Thamnophis_couchii,Aquatic
Fowlea_punctulatus,Thamnophis_rufipunctatus,Aquatic
Fowlea_punctulatus,Thamnophis_sumichrasti,Aquatic
Fowlea_punctulatus,Thamnophis_validus,Aquatic
Fowlea_punctulatus,Trimerodytes_aequifasciata,Aquatic
Fowlea_punctulatus,Trimerodytes_annularis,Aquatic
Fowlea_punctulatus,Trimerodytes_percarinata,Aquatic
Fowlea_punctulatus,Xenochrophis_trianguligerus_1,Aquatic
Fowlea_punctulatus,Xenochrophis_trianguligerus_2,Aquatic
Fowlea_punctulatus,Xenochrophis_vittatus,Aquatic
Fowlea_sanctijohannis,Helophis_schoutedeni,Aquatic
Fowlea_sanctijohannis,Hydraethiops_laevis,Aquatic
Fowlea_sanctijohannis,Hydraethiops_melanogaster,Aquatic
Fowlea_sanctijohannis,Limnophis_bangweolicus,Aquatic
Fowlea_sanctijohannis,Limnophis_bicolor,Aquatic
Fowlea_sanctijohannis,Liodytes_alleni,Aquatic
Fowlea_sanctijohannis,Liodytes_pygaea,Aquatic
Fowlea_sanctijohannis,Liodytes_rigida,Aquatic
Fowlea_sanctijohannis,Natrix_tessellata_3,Aquatic
Fowlea_sanctijohannis,Nerodia_clarkii,Aquatic
Fowlea_sanctijohannis,Nerodia_cyclopion,Aquatic
Fowlea_sanctijohannis,Nerodia_erythrogaster,Aquatic
Fowlea_sanctijohannis,Nerodia_fasciata,Aquatic
Fowlea_sanctijohannis,Nerodia_floridana,Aquatic
Fowlea_sanctijohannis,Nerodia_harteri,Aquatic
Fowlea_sanctijohannis,Nerodia_paucimaculata,Aquatic
Fowlea_sanctijohannis,Nerodia_rhombifer,Aquatic
Fowlea_sanctijohannis,Nerodia_sipedon,Aquatic
