Species,Habit,Diet,Origin,Lineage,JL_log10_res,HLRA_log10_res,HLV_log10_res,HWLSL_log10_res,HWFSL_log10_res,HW_log10_res,HHP_log10_res,HH_log10_res,ES_log10_res,EN_log10_res,ED_log10_res,NL_log10_res,EL_log10_res,NN_log10_res,EE_log10_res,BWH_log10_res,BWM_log10_res,BWV_log10_res,MBVL_log10_res,TL_log10_res,DSR_res,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
Hebius_chapaensis,Semiaquatic,unknown,Asian,Asian II,-0.09751578014866188,-0.1003049591233104,-0.08175887253861104,-0.08751919842129192,-0.0530481572826748,-0.09318096906556649,-0.10179977257252787,-0.1471860116698532,-0.0633923659122024,-0.07039753391496889,-0.14177273111283178,-0.10538604639317659,-0.16552191788872403,-0.009534702254712247,-0.04263510257504008,-0.11126872498609959,-0.06489419906933092,-0.04069285040971439,-0.12489162540083672,NA,-2.2014004541404684,-4.602535610512951,0.4995991809327278,-0.34221301605152044,0.679265339585361,0.059434351926713994,-0.3831777532558435,0.028004660362042688,0.036314783781838694,-0.049162775838761386,-0.24452210064268498,-0.06578508627886435,-0.061019924063259956,-0.11279613300313945,0.009225464366654171,-0.016563610459097405
Hebius_clerki,Semiaquatic,unknown,Asian,Asian II,-0.024405197942737576,-0.0754368493193294,-0.08023126752638562,-0.06932801328993382,-0.08687706986832527,-0.07000677964594826,-0.08422486403133186,-0.11844925064387239,-0.124969037761147,-0.09627805843904255,-0.028924635571700517,-0.1066727174237082,-0.146620096319865,-0.047962973824967434,-0.050705833291918745,-0.19218574200770291,-0.19154262839068803,-0.10925999787142408,-0.13514312411225682,0.10308548255618064,-0.18006960303154487,-4.114111599648113,0.35147898995456006,0.20050984120454388,-0.5784291121643899,-1.1398008632369063,-0.9367544516086359,0.054879834196870037,0.15507542332769475,0.14441996271215066,-0.3624725094201251,0.048188155610201594,0.538801497944364,-0.10460281684230913,0.5027577815009983,-0.06834140740792989
Hebius_craspedogaster_2,Semiaquatic,anurans,Asian,Asian II,-0.010013463393170986,-0.019120115283314393,-0.045231285192789225,-0.06800960128041597,-0.0010840080706804988,-0.04835960859218733,-0.05816845689793578,-0.032505880360572136,-0.023502441800103246,-0.08645460733007647,0.11749838430409668,0.00818844037640673,-0.004462718899705559,0.07160305504631959,-0.005843723657517076,-0.13283835006563624,-0.06150263376088165,-0.07788089818325747,-0.12865490504196692,0.19403225060977403,0.7969516940770465,-0.952266508739366,1.6595532702440987,0.8173699238937169,-0.6202664309931393,-0.30070511904844516,0.1295748482963365,-0.16715356157154593,-0.1480133547459775,0.6435790918799285,0.06665826152792634,-0.029962414397516655,0.0839236085899801,0.0010989644411992113,-0.17872399686943002,0.025684006421498748
Hebius_flavifrons,Semiaquatic,generalist,Asian,Asian II,0.02349229859980876,-0.00524148037084899,0.0071422980365293464,0.002639722118518581,0.03143493668636583,0.011353078901109676,-0.009954697964938697,-0.0077999007322393865,0.025514962077681662,0.02814435321457748,0.12412885778869079,0.04867374843520484,0.049237002592429496,0.07958390713146721,0.054920943593992744,-0.08108357044730179,-0.06538105789080333,-0.05902132177354543,-0.005379720449167108,0.2908006509324805,1.4110454024056027,1.6256349326938906,0.918201684800761,0.7253774415909946,0.261281742051912,0.2204400038486952,-0.07704217237855751,-0.6625014568401207,0.1271703699801513,-0.1322732953871616,0.09163292198769057,0.0471634696580506,-0.21587836155540222,-0.1664125298543046,0.21119846056027997,-0.017922324600358912
Hebius_groundwateri,Semiaquatic,unknown,Asian,Asian II,-0.009425908605990711,-0.0391399024223571,-0.006895577142602119,0.020158335349726178,-0.046551752095770185,-0.0018448840003044507,-0.09185784715286192,-0.08812383106863027,0.020028180672583943,0.03195925635084002,-0.09021898526690249,0.04206353197917502,-0.04730708488040081,0.08429981526920756,-0.015788786098598354,-0.026881055555308342,0.023011599809923008,-0.021286789778306253,-0.018794596600912802,0.3492190094606036,1.5283356288522851,-0.5937402363985065,0.19061691547891813,-0.41115185480301003,0.8646270783344852,1.3282996153376256,-1.0051210078827733,-0.4787422665737241,0.4352138771067335,0.5362041126681368,0.4572786143398668,-0.39894249225420114,-0.09478177611625763,0.044535716449255865,0.41298051624500365,-0.1686210308259861
Hebius_inas,Semiaquatic,unknown,Asian,Asian II,0.012422872637628162,0.0036301031407833316,-0.009104836153685188,-0.010076107279641202,-0.0174191673865189,0.011148197392388693,-0.04391585009050032,-0.04865025995619702,0.006084486826712815,-0.014522081839341863,0.05714913906902749,-0.02653783857798923,-0.05443183238646693,0.05339796089465415,-0.02106429652204133,-0.0727655947634512,-0.1049596616762481,-0.053999006857296195,-0.10563188770865105,0.2770928375724783,0.9446908927041922,-0.19022378995780348,0.32686439661990835,0.48673564581428286,0.14837683640431196,0.08242798352423443,-0.7794696233532374,0.30209213884183445,0.2940435154056059,0.6119979353968322,0.03974890176523263,-0.17096645354789025,-0.011974243482588959,-0.22637111151147152,-0.10188222889020761,0.19747395902233833
Hebius_johannis,Semiaquatic,fish,Asian,Asian II,-0.038236674947857936,-0.04379656749881527,-0.06464375033894902,-0.031944680291813445,-0.013722105261531514,-0.037201640800031854,-0.05090789608726675,-0.060725194033241024,-0.04530819577615486,-0.03585851947710497,-0.0465514481934132,-0.015795729424735762,-0.0985058688554381,-0.023310963937421627,-0.05519472622000192,-0.06944681937177671,-0.025399255564600653,-0.07227075724905091,-0.0984072785997108,NA,-0.08460563202169297,-2.201096732869602,0.11501750465105179,-0.4006288190458758,-0.2273479774390364,-0.048206444744495563,-0.0964302784252637,0.17183752375962513,0.5827695957682859,0.30928548885495843,-0.23045908426917866,-0.05381124925433406,0.3146020142599968,-0.34582377494453137,0.07062696026557011,-0.03647264770694197
Hebius_khasiense_1,Semiaquatic,generalist,Asian,Asian II,-0.030407645556065,-0.03793529157480578,-0.04482111946415371,-0.048882302987204744,-0.05056163348998181,-0.03677736868122337,-0.0767949097465918,-0.08900448087415046,-0.05113866579142542,-0.042447871518324055,-8.732677614076013e-4,-0.04406733669029336,-0.09494354854250067,0.010807307919253184,-0.044154279670108404,-0.11834604274627308,-0.10398244124887351,-0.08348602603716497,-0.09444246393194265,0.2291446793543026,0.9603669682985728,-2.3037509261835774,0.37083114105352916,0.23444909299277317,-0.17232411602677428,-0.08107334130718469,-0.6977792114495809,0.044375209322778,0.3045739224212798,0.33878515410796156,0.06229382178639939,-0.1082334573870963,0.227303398018163,-0.22236404405778637,0.025173237630809222,0.11033438440801344
Hebius_metusium,Semiaquatic,unknown,Asian,Asian II,-0.07881156084646024,-0.07162026835054801,-0.09731493373565335,-0.1318288514019237,-0.08318527185364849,-0.13436718086054064,-0.11644444410810884,-0.11738477709808359,-0.07309213307639978,-0.06467312658707029,-0.020175597123228327,-0.1367297079354375,-0.11610280099479016,-0.01719346232446452,-0.08576518237100285,-0.1274947442019297,-0.11143372265828903,-0.0010930010755482687,-0.1009785082334128,0.07799679188917104,-2.3545830267286036,-4.763127201494565,0.4046733328992821,1.0237116255153074,-0.2734356454595086,0.07376038607964705,0.07345478477006523,0.3272747542696272,0.25211559613631596,0.2381177017160655,0.11196351617839034,0.011186345251938734,0.3164342423483904,0.04268658997384765,-0.18480540029028947,-0.07927784833342455
Hebius_modestum,Terrestrial,anurans,Asian,Asian II,-0.008480061027549772,-0.014835272735974677,-0.023353428537517453,-0.013668978226687183,-0.02241031787699541,-0.0029026760478293202,-0.03469587935783901,-0.05115254145573995,-0.026834712505379905,-0.006545125495405488,-0.03679200694819254,0.009441584912948811,-0.04930266232912759,0.04107048617232372,-0.024139417047205174,-0.053105245680801896,-0.0279902328874073,-0.009070131020637301,-0.054726687221011934,0.20844335503432668,0.6198826425639073,-0.7419656020157411,0.18829858018630666,-0.2744450462037492,0.11178710590033009,0.15853114424602804,-0.5174246470853693,-0.04527542256852107,0.31832389302452635,0.29164585388832265,0.19090194404900998,0.06019688664550463,0.37918647886642937,-0.0518110097666626,0.13985802560633132,0.13624795164491948
Hebius_octolineatum_3,Terrestrial,anurans,Asian,Asian II,-0.014390997788677624,-0.024950152775267073,-0.021622297765095538,-0.033972061345617616,-2.7320689322454e-4,-0.023503166252196214,-0.04067008181487832,-0.022056300072691215,-0.016885823987805228,-0.03245601009095764,0.02174463277648824,-1.4302128883705783e-4,-0.028191206227782376,5.187099379723313e-5,-0.02774351459195096,-0.05561154746203684,-0.06764554888784612,-0.03425524586489555,-0.05807077583286055,0.028104436875366467,0.18368635975545466,-0.8044619583631663,0.3225840936437322,0.0940635823092173,-0.4326542573273512,0.020265039484949343,0.03721992252266924,0.09291734625339992,0.09295394427569231,0.2660973614023116,0.0396886529826857,-0.10935682145892141,-0.05007442831849405,-0.1760285803554623,0.065315675745764315,0.07115189294544957
Hebius_optatum_1,Semiaquatic,fish,Asian,Asian II,-0.028235387955863507,-0.026377302972346944,-0.034483746482418066,-0.14372441968117355,-0.055669635500858475,-0.12881182987534714,-0.1050228265984616,-0.07848047282974106,-0.029541650501121477,-0.05810265743216898,0.09714926691521009,-0.04616239511178373,-0.0808939786006453,0.02563248304633352,-0.001158773164492859,-0.20775880243437186,-0.12224601339714004,-0.12571373157835006,-0.14367072391985058,NA,0.5135917063098935,-2.517875586783772,1.1867059179648247,1.6884835272846996,-0.4407422611594171,0.4947099728777002,-0.19504903457219855,-0.2359382076414079,-0.8648158560572444,0.06678552544571041,-0.28116822792278795,0.06755539325860663,0.19902410286657968,-0.21439190222880203,-0.34224065411793003,0.005757503779921395
Hebius_parallelum,Semiaquatic,generalist,Asian,Asian II,-0.008293787062521237,-0.018865259413410756,-0.028683875417393444,-0.03717454148273638,0.021699649278681808,-0.041637841480846774,-0.031689774839116565,8.992528893564605e-4,-0.01600547757408879,-0.027013663915820486,0.03605471727082224,0.05004137920006508,-0.004182589310413603,0.014501883610410696,-0.026266660947211317,-0.04472042400880257,-0.0809869188215207,-0.06273557798378225,-0.0653836597665047,0.031736824302863044,0.6435266369484016,-0.4330683795031838,0.6151625740076171,0.04475991671323706,-0.7026623357140418,0.2556736923239553,0.4342458617374113,-0.027439681473397592,0.10904259991382094,0.27834991364957495,0.05409490342258333,0.05009584136932584,0.21452506569720461,-0.20460001646108478,0.09459959733192665,-0.10321953720259561
Hebius_petersi,Semiaquatic,lizards,Asian,Asian II,0.01341239317937845,0.00770168646529828,-0.003180495084552996,-0.062038244768453335,0.04001900699229306,-0.01628898376691034,-0.00996859635610472,0.008265376783642347,0.02298284510573892,0.0076142302183114935,0.11093080972171378,0.022530733858312172,0.05374501177985312,0.07766566300612551,0.028609313215016516,-0.07836847205085261,-0.04451206503639566,-0.04849206056249618,-0.036934888704142736,0.20036311346925886,0.5490921952440704,1.017670430205884,0.9919592906472156,0.9998864295922407,-0.05249888127267924,0.3503193211097812,0.4780625938048877,-0.19190833050823058,-0.1610756134131688,-0.02415987960003005,0.12116505098758049,0.23184826416541324,-0.009067404276870132,0.07508401946685044,-0.05745318152504793,0.3471853653413254
Hebius_pryeri_2,Semiaquatic,generalist,Asian,Asian II,-0.06258903901679008,-0.07352009136618622,-0.07599872201440358,-0.0941561877034364,-0.1313637419146897,-0.09937844445785901,-0.11383554080271052,-0.07064795987171213,-0.041786676315542115,-0.02178890079353703,0.016618464484221794,-0.17749734444084958,-0.1065974098945819,-0.06715568947372971,-0.017547063003362662,-0.1297037040446592,-0.10360562220904376,-0.1391260993293868,-0.08531136027612994,0.1926642899172803,-0.7806684035583736,-3.6635189861318027,-0.4370916723463907,1.5796872222177925,0.380396895716545,-0.3089750511218507,0.009945323854765037,-0.3701786778531434,-0.12948857407283898,-0.06885612476005844,-0.27058219828867086,-0.5984333084246417,-0.06338578906636633,-0.1598065327332562,0.08164360612044987,-0.14739865588691065
